Timestamp,Gender,Hair_Length,Haircut_frequency,Haircut_cost
4/3/2024 12:09:06,Female,Medium,1,75
4/3/2024 12:13:56,Female,Long,3,300
4/3/2024 12:17:07,Female,Long,4,120
4/3/2024 12:17:48,Female,Medium,1,35
4/3/2024 12:18:10,Male,Short,3,225
4/3/2024 12:21:17,Male,Medium,2,35
4/3/2024 12:25:26,Female,Short,2,150
4/3/2024 12:25:36,Male,Long,5,150
4/3/2024 12:27:06,Female,Medium,3,45
4/3/2024 12:35:00,Female,Long,1,0
4/3/2024 12:35:17,Male,Short,10,0
4/3/2024 12:35:48,Male,Short,6,180
4/3/2024 12:36:52,Female,Long,1,150
4/3/2024 12:36:59,Female,Long,2,60
4/3/2024 12:45:42,Female,Long,0,0
4/3/2024 12:50:42,Female,Medium,2,250
4/3/2024 13:43:05,Female,Medium,0,0
4/3/2024 13:43:23,Female,Long,4,0
4/3/2024 13:50:45,Male,Medium,6,300
4/3/2024 14:33:33,Female,Medium,2,0
4/3/2024 14:33:43,Female,Medium,1,70
4/3/2024 15:28:56,Female,Medium,2,75
4/3/2024 15:29:47,Female,Medium,2,200
4/3/2024 17:05:50,Male,Long,5,50
4/3/2024 17:43:08,Male,Short,24,840
4/3/2024 20:01:54,Male,Medium,5,75
4/3/2024 20:15:01,Male,Medium,3,1000
4/3/2024 20:26:20,Male,Short,4,140
4/4/2024 11:48:32,Male,Short,6,0
4/4/2024 11:49:17,Female,Long,1,0
4/4/2024 12:15:35,Female,Medium,1,0
4/4/2024 12:19:19,Female,Long,3,10
4/4/2024 13:00:52,Female,Short,1,45
4/4/2024 13:02:09,Male,Short,12,600
4/4/2024 13:06:17,Male,Short,12,360
4/4/2024 17:53:00,Female,Medium,2,450
4/4/2024 17:55:53,Female,Long,3,100
4/4/2024 17:55:54,Female,Long,5,0
4/4/2024 17:55:56,Female,Long,3,105
4/4/2024 17:56:21,Male,Short,22,0
4/4/2024 17:57:57,Female,Medium,3,40
4/4/2024 17:58:51,Male,Short,28,276
4/4/2024 17:59:39,Female,Long,1,35
4/4/2024 18:01:39,Male,Short,12,300
4/4/2024 18:02:53,Female,Medium,3,45
4/4/2024 18:02:55,Female,Medium,2,80
4/4/2024 18:03:20,Female,Short,1,35
4/4/2024 18:05:03,Female,Medium,2,0
4/4/2024 18:06:59,Male,Medium,12,240
4/4/2024 18:07:06,Female,Long,0,0
4/4/2024 18:09:53,Female,Medium,1,40
4/4/2024 18:09:59,Female,Medium,12,0
4/4/2024 18:10:13,Male,Medium,4,50
4/4/2024 18:11:03,Male,Short,18,1200
4/4/2024 18:11:28,Male,Short,20,1000
4/4/2024 18:11:50,Female,Long,2,150
4/4/2024 18:11:50,Female,Short,3,80
4/4/2024 18:11:57,Female,Short,2,0
4/4/2024 18:12:03,Female,Medium,4,140
4/4/2024 18:12:09,Female,Medium,1,50
4/4/2024 18:12:26,Male,Long,4,30
4/4/2024 18:12:56,Female,Long,1,80
4/4/2024 18:14:07,Female,Long,1,0
4/4/2024 18:14:15,Female,Long,0,0
4/4/2024 18:15:19,Male,Medium,70,30
4/4/2024 18:15:34,Female,Medium,3,100
4/4/2024 18:16:06,Female,Medium,2,0
4/4/2024 18:16:38,Male,Short,52,624
4/4/2024 18:17:32,Female,Medium,1,30
4/4/2024 18:18:27,Female,Long,3,90
4/4/2024 18:18:34,Female,Long,3,200
4/4/2024 18:19:44,Female,Long,10,0
4/4/2024 18:21:28,Male,Short,20,0
4/4/2024 18:22:08,Female,Medium,2,100
4/4/2024 18:22:17,Male,Medium,0,15
4/4/2024 18:23:50,Female,Medium,4,150
4/4/2024 18:23:52,Female,Medium,1,100
4/4/2024 18:27:21,Female,Long,3,80
4/4/2024 18:27:35,Female,Long,1,80
4/4/2024 18:31:11,Female,Medium,1,60
4/4/2024 18:38:06,Male,Short,8,0
4/4/2024 18:40:19,Male,Long,25,875
4/4/2024 18:43:00,Female,Long,1,70
4/4/2024 18:43:17,Female,Medium,4,0
4/4/2024 18:49:04,Male,Long,1,25
4/4/2024 18:49:10,Female,Long,1,50
4/4/2024 18:53:20,Female,Medium,1,75
4/4/2024 18:57:13,Female,Short,1,30
4/4/2024 18:58:09,Male,Medium,6,360
4/4/2024 18:58:50,Female,Medium,5,0
4/4/2024 19:00:38,Female,Long,0,0
4/4/2024 19:02:06,Female,Medium,4,0
4/4/2024 19:02:45,Female,Medium,1,80
4/4/2024 19:06:09,Female,Short,1,35
4/4/2024 19:07:56,Female,Short,3,90
4/4/2024 19:10:26,Female,Short,4,200
4/4/2024 19:11:48,Male,Short,2,22
4/4/2024 19:12:02,Female,Medium,4,25
4/4/2024 19:12:28,Female,Long,2,0
4/4/2024 19:19:47,Female,Medium,2,80
4/4/2024 19:23:20,Female,Medium,2,0
4/4/2024 19:36:44,Female,Long,0,0
4/4/2024 19:49:06,Male,Medium,5,200
4/4/2024 19:53:16,Female,Medium,1,70
4/4/2024 19:59:58,Female,Short,2,59
4/4/2024 20:02:45,Female,Medium,1,80
4/4/2024 20:03:05,Male,Short,26,0
4/4/2024 20:05:09,Female,Long,1,50
4/4/2024 20:11:58,Female,Medium,1,40
4/4/2024 20:15:39,Female,Medium,3,120
4/4/2024 20:21:29,Female,Medium,2,30
4/4/2024 20:26:43,Male,Medium,5,35
4/4/2024 20:51:08,Female,Medium,1,35
4/4/2024 20:55:25,Female,Short,3,0
4/4/2024 21:07:57,Female,Medium,3,0
